date,traffic,case_hk
2023/4/18,147470,0
2023/4/19,135245,1
2023/4/20,138738,1
2023/4/21,176482,0
2023/4/22,234079,0
2023/4/23,166838,0
2023/4/24,142935,0
2023/4/25,141374,0
2023/4/26,146765,0
2023/4/27,153352,0
2023/4/28,193404,1
2023/4/29,269573,1
2023/4/30,259604,0
2023/5/1,170553,0
2023/5/2,183811,0
2023/5/3,160004,0
2023/5/4,138162,0
2023/5/5,162977,0
2023/5/6,207993,0
2023/5/7,150224,0
2023/5/8,141981,0
2023/5/9,146848,0
2023/5/10,153321,1
2023/5/11,160865,0
2023/5/12,183319,0
2023/5/13,265449,0
2023/5/14,191183,0
2023/5/15,152670,0
2023/5/16,151781,0
2023/5/17,144470,0
2023/5/18,149011,0
2023/5/19,179189,0
2023/5/20,253602,0
2023/5/21,187449,0
2023/5/22,142789,0
2023/5/23,136870,0
2023/5/24,144777,0
2023/5/25,228604,0
2023/5/26,319217,0
2023/5/27,203616,0
2023/5/28,154712,0
2023/5/29,143324,0
2023/5/30,141643,0
2023/5/31,132584,0
2023/6/1,137852,0
2023/6/2,168174,0
2023/6/3,221787,0
2023/6/4,166458,0
2023/6/5,140261,0
2023/6/6,144248,0
2023/6/7,145924,0
2023/6/8,149477,0
2023/6/9,184881,0
2023/6/10,255851,0
2023/6/11,193811,0
2023/6/12,149964,0
2023/6/13,147630,0
2023/6/14,143840,0
2023/6/15,145899,0
2023/6/16,183065,0
2023/6/17,238185,0
2023/6/18,185756,0
2023/6/19,156029,0
2023/6/20,161342,1
2023/6/21,218980,0
2023/6/22,212826,0
2023/6/23,228508,0
2023/6/24,256698,0
2023/6/25,187960,0
2023/6/26,156431,0
2023/6/27,158103,0
2023/6/28,160280,0
2023/6/29,164534,0
2023/6/30,254800,0
2023/7/1,333532,0
2023/7/2,173878,0
2023/7/3,150581,0
2023/7/4,154798,0
2023/7/5,168696,0
2023/7/6,166768,1
2023/7/7,202445,0
2023/7/8,283323,0
2023/7/9,220140,0
2023/7/10,164987,0
2023/7/11,169517,0
2023/7/12,177641,1
2023/7/13,184687,1
2023/7/14,213465,0
2023/7/15,299642,1
2023/7/16,208588,1
2023/7/17,82592,0
2023/7/18,166197,0
2023/7/19,184518,1
2023/7/20,191757,0
2023/7/21,221839,0
2023/7/22,323494,0
2023/7/23,260593,1
2023/7/24,179862,1
2023/7/25,179953,0
2023/7/26,178986,0
2023/7/27,166786,2
2023/7/28,186541,2
2023/7/29,273777,0
2023/7/30,248800,0
2023/7/31,175122,0
2023/8/1,179822,0
2023/8/2,187631,1
2023/8/3,189806,0
2023/8/4,223170,2
2023/8/5,327665,0
2023/8/6,268638,0
2023/8/7,182134,1
2023/8/8,181950,2
2023/8/9,196352,1
2023/8/10,194698,1
2023/8/11,228261,0
2023/8/12,338927,0
2023/8/13,267312,0
2023/8/14,189445,1
2023/8/15,193485,1
2023/8/16,200304,2
2023/8/17,198258,0
2023/8/18,218794,2
2023/8/19,349675,0
2023/8/20,269562,0
2023/8/21,196137,1
2023/8/22,195648,0
2023/8/23,197900,0
2023/8/24,195148,1
2023/8/25,226535,2
2023/8/26,327764,0
2023/8/27,263405,0
2023/8/28,193949,0
2023/8/29,171124,1
2023/8/30,177714,0
2023/8/31,190198,2
2023/9/1,38121,0
2023/9/2,84079,0
2023/9/3,210921,0
2023/9/4,163252,0
2023/9/5,165182,0
2023/9/6,168437,0
2023/9/7,162552,1
2023/9/8,74682,0
2023/9/9,230722,0
2023/9/10,177387,0
2023/9/11,155982,0
2023/9/12,162833,0
2023/9/13,166661,0
2023/9/14,138756,1
2023/9/15,210219,0
2023/9/16,301742,0
2023/9/17,238077,0
2023/9/18,176230,0
2023/9/19,180129,0
2023/9/20,179715,0
2023/9/21,180250,1
2023/9/22,219928,1
2023/9/23,309335,0
2023/9/24,232516,0
2023/9/25,184757,0
2023/9/26,182828,0
2023/9/27,188413,0
2023/9/28,188175,0
2023/9/29,261139,0
2023/9/30,339011,0
2023/10/1,255420,0
2023/10/2,196266,0
2023/10/3,207731,0
2023/10/4,218864,0
2023/10/5,222329,0
2023/10/6,221867,0
2023/10/7,234593,0
2023/10/8,96988,0
2023/10/9,92319,0
2023/10/10,175269,0
2023/10/11,184174,0
2023/10/12,189469,0
2023/10/13,224673,0
2023/10/14,327681,0
2023/10/15,236791,0
2023/10/16,188573,0
2023/10/17,180353,0
